job_title,company,salary,tg,grade
Python developer,Collectly,6000-9000 $,@ann_gfio,None
Системный аналитик,АКЦИОНЕРНОЕ ОБЩЕСТВО «ГЛАВНЫЙ НАУЧНЫЙ ИННОВАЦИОННЫЙ ВНЕДРЕНЧЕСКИЙ ЦЕНТР» (АО «ГНИВЦ»),320000-370000 руб.,@NatalyaMaki,None
Database Administrator,Match Systems,от 3000 $,@lex_kertis,senior
Руководитель отдела системного администрирования,None,от 3000 $,@ResearcherRIT,None
Analyst,Sirena Travel,120000-180000 руб.,@ann_gfio,None
DevOps инженер,Mad Devs,до 5000 $,@recruiter_maddevs,senior
Системный аналитик,Платформа,180000-300000 руб.,@Alexandrabogdanova_96,"senior,middle+,lead"
Python/Django full-stack разработчика,ivelum,4000-6000 $,@lebedevaoi,None
Go разработчик,КА Алешин Д.А.,до 500000 руб.,@AleshinDmitry80,middle
Разработчик (Vue.js / Golang),None,None,None,junior
Lead UI/UX Designer,None,None,@alesyaly,None
QA automation Engineer (Python),CFPS,180000-250000 руб.,@Ana_Itrecruiter,"middle,senior"
Full Stack PHP-разработчик,GetCourse,от 250000 руб.,@Ritttka1,None
Frontend разработчик,Travelata,280000-320000 руб.,@ann_gfio,senior
React Developer,крупный банк,180000-230000 руб.,None,middle+
PHP-developer (Symfony),KT.Team,до 240000 руб.,@innahotim,None
Retention Manager,None,None,@alesyaly,None
Python developer,Skillbox,300000-400000 руб.,@ann_gfio,senior
Программист 1С:ЗУП,КСА,220000-250000 руб.,@saras770,None
Системный аналитик,Amber,до 300000 руб.,@Sholpan771,middle
Tech Lead QA,RecruitIT,от 3000 $,@ResearcherRIT,None
Backend Python разработчик,Траст Строй,None,@Lyubov_Vladim,senior
Менеджер по развитию партнерской сети,AMBER,от 130000 руб.,@Sholpan771,None
Full-stack разработчик,"КА ""АйтиКА""",300000-380000 руб.,@artur_vv,None
C# Engineer,GGEM,от 17$ в час,@AlexMayel,None
System Аnalyst,Brief,240000-300000 руб.,@smirnsvet,"middle,senior"
Разработчик PowerBuilder,Outlines Tech,до 290000 руб.,@mnoita,None
Системный аналитик,INFOPRO,100000-200000 руб.,@ann_gfio,middle
Java developer,None,200000-250000 руб.,@Sholpan771,middle
PHP программист,100UP,от 150000-200000 руб.,@romanenko_daria,None
IT Recruiter,AIPeople,None,@nastyaishiring,junior
C/C++ Developer,NTS,140000-300000 руб.,@ann_gfio,"middle, senior"
PHP developer,Водоходъ,180000-200000 руб.,@ann_gfio,"middle, senior"
Python Developer,ALEX GROUP COMPANY,от 3000-3600 $,@danilavaren,middle
Go Developer,WILDBERRIES,от 150000 до 600000 руб.,@hr_legoit,None
SDR,Ptolemay,300000-1000000 $,"@Dmitriy_Ptolemay, @rinapina_ptolemay",None
C# Developer,Sirena Travel,300000-400000 руб.,@ann_gfio,None
Системный администратор,MANUFAQTURY,от 80000 руб.,None,None
Аналитик,Автомакон,None,@nikolaazzp,intern
копирайтер,ALEX GROUP COMPANY,80000-140000 руб.,@danilavaren,None
QA,Dreamsoft,None,@DreamITB,None
Системный аналитик,AWG,до 350000 руб.,@ElivHR,senior
Release manager,WILDBERRIES,от 150000 руб. - 350000 руб.,@invader_s,None
DevOps (Openstack Engineer),Mayflower,5000-6000 $,@Alexandr_Mayel,None
Go Developer,WILDBERRIES,от 150000 руб.-до 600000 руб.,@Fl_recruiter,None
Backend Engineer,Qlan,110000-140000 руб.,@laptev13,middle+
Программист на верстку,None,None,@vlrstrtsv,None
DWH developer,König Labs,250000-300000 руб.,@HrKristinaorekhova,None
Frontend разработчик Angular,Nobilis.Team,180000-250000 руб.,@Anna_HRinIT,middle
HR Manager,ALEX GROUP COMPANY,70000-90000 руб.,@danilavaren,junior
