;job_title;company;salary;tg;grade
0;Python developer;Collectly;6000-9000 $;@ann_gfio;None
1;Системный аналитик;АКЦИОНЕРНОЕ ОБЩЕСТВО «ГЛАВНЫЙ НАУЧНЫЙ ИННОВАЦИОННЫЙ ВНЕДРЕНЧЕСКИЙ ЦЕНТР» (АО «ГНИВЦ»);320000-370000 руб.;@NatalyaMaki;None
2;Database Administrator;Match Systems;от 3000 $;@lex_kertis;senior
3;Руководитель отдела системного администрирования;None;от 3000 $;@ResearcherRIT;None
4;Analyst;Sirena Travel;120000-180000 руб.;@ann_gfio;None
5;DevOps инженер;Mad Devs;до 5000 $;@recruiter_maddevs;senior
6;Системный аналитик;Платформа;180000-300000 руб.;@Alexandrabogdanova_96;senior,middle+,lead
7;Python/Django full-stack разработчика;ivelum;4000-6000 $;@lebedevaoi;None
8;Go разработчик;КА Алешин Д.А.;до 500000 руб.;@AleshinDmitry80;middle
9;Разработчик (Vue.js / Golang);None;None;None;junior
10;Lead UI/UX Designer;None;None;@alesyaly;None
11;QA automation Engineer (Python);CFPS;180000-250000 руб.;@Ana_Itrecruiter;middle,senior
12;Full Stack PHP-разработчик;GetCourse;от 250000 руб.;@Ritttka1;None
13;Frontend разработчик;Travelata;280000-320000 руб.;@ann_gfio;senior
14;React Developer;крупный банк;180000-230000 руб.;None;middle+
15;PHP-developer (Symfony);KT.Team;до 240000 руб.;@innahotim;None
16;Retention Manager;None;None;@alesyaly;None
17;Python developer;Skillbox;300000-400000 руб.;@ann_gfio;senior
18;Программист 1С:ЗУП;КСА;220000-250000 руб.;@saras770;None
19;Системный аналитик;Amber;до 300000 руб.;@Sholpan771;middle
20;Tech Lead QA;RecruitIT;от 3000 $;@ResearcherRIT;None
21;Backend Python разработчик;Траст Строй;None;@Lyubov_Vladim;senior
22;Менеджер по развитию партнерской сети;AMBER;от 130000 руб.;@Sholpan771;None
23;Full-stack разработчик;"КА ""АйтиКА""";300000-380000 руб.;@artur_vv;None
24;C# Engineer;GGEM;от 17$ в час;@AlexMayel;None
25;System Аnalyst;Brief;240000-300000 руб.;@smirnsvet;middle,senior
26;Разработчик PowerBuilder;Outlines Tech;до 290000 руб.;@mnoita;None
27;Системный аналитик;INFOPRO;100000-200000 руб.;@ann_gfio;middle
28;Java developer;None;200000-250000 руб.;@Sholpan771;middle
29;PHP программист;100UP;от 150000-200000 руб.;@romanenko_daria;None
30;IT Recruiter;AIPeople;None;@nastyaishiring;junior
31;C/C++ Developer;NTS;140000-300000 руб.;@ann_gfio;middle, senior
32;PHP developer;Водоходъ;180000-200000 руб.;@ann_gfio;middle, senior
33;Python Developer;ALEX GROUP COMPANY;от 3000-3600 $;@danilavaren;middle
34;Go Developer;WILDBERRIES;от 150000 до 600000 руб.;@hr_legoit;None
35;SDR;Ptolemay;300000-1000000 $;@Dmitriy_Ptolemay, @rinapina_ptolemay;None
36;C# Developer;Sirena Travel;300000-400000 руб.;@ann_gfio;None
37;Системный администратор;MANUFAQTURY;от 80000 руб.;None;None
38;Аналитик;Автомакон;None;@nikolaazzp;intern
39;копирайтер;ALEX GROUP COMPANY;80000-140000 руб.;@danilavaren;None
40;QA;Dreamsoft;None;@DreamITB;None
41;Системный аналитик;AWG;до 350000 руб.;@ElivHR;senior
42;Release manager;WILDBERRIES;от 150000 руб. - 350000 руб.;@invader_s;None
43;DevOps (Openstack Engineer);Mayflower;5000-6000 $;@Alexandr_Mayel;None
44;Go Developer;WILDBERRIES;от 150000 руб.-до 600000 руб.;@Fl_recruiter;None
45;Backend Engineer;Qlan;110000-140000 руб.;@laptev13;middle+
46;Программист на верстку;None;None;@vlrstrtsv;None
47;DWH developer;König Labs;250000-300000 руб.;@HrKristinaorekhova;None
48;Frontend разработчик Angular;Nobilis.Team;180000-250000 руб.;@Anna_HRinIT;middle
49;HR Manager;ALEX GROUP COMPANY;70000-90000 руб.;@danilavaren;junior
